"gene_names","genes","match","rank"
"FBgn0039915__Gat","FBgn0039915","1",1
"FBgn0000303__ChAT","FBgn0000303","0",2
"FBgn0027547__CG1927","FBgn0027547","1",3
"FBgn0051760__CG31760","FBgn0051760","0",4
"FBgn0062517__CG16984","FBgn0062517","0",5
"FBgn0289108__Archease","FBgn0289108","0",6
"FBgn0019985__mGluR","FBgn0019985","1",7
"FBgn0003676__CCT1","FBgn0003676","1",8
"FBgn0038789__Ir92a","FBgn0038789","0",9
"FBgn0030617__CG9095","FBgn0030617","0",10
"FBgn0030685__Graf","FBgn0030685","1",11
"FBgn0015019__CCT3","FBgn0015019","0",12
"FBgn0029113__Uba2","FBgn0029113","0",13
"FBgn0034966__CG13563","FBgn0034966","0",14
"FBgn0264308__hbt","FBgn0264308","0",15
"FBgn0037632__CCT7","FBgn0037632","1",16
"FBgn0266599__Hsc70-4","FBgn0266599","0",17
"FBgn0033652__ths","FBgn0033652","0",18
"FBgn0033062__Ars2","FBgn0033062","1",19
"FBgn0029935__CG4615","FBgn0029935","1",20
"FBgn0023416__Ac3","FBgn0023416","1",21
"FBgn0035936__Tsp66E","FBgn0035936","1",22
"FBgn0020653__Trxr1","FBgn0020653","1",23
"FBgn0033538__CG11883","FBgn0033538","0",24
"FBgn0263995__cpo","FBgn0263995","1",25
"FBgn0035777__CG8563","FBgn0035777","0",26
"FBgn0035383__CPT2","FBgn0035383","0",27
"FBgn0261805__CG42751","FBgn0261805","0",28
"FBgn0085399__CG34370","FBgn0085399","0",29
"FBgn0284436__CCT8","FBgn0284436","1",30
"FBgn0083228__Frq2","FBgn0083228","0",31
"FBgn0259245__DIP-beta","FBgn0259245","0",32
"FBgn0028863__stol","FBgn0028863","0",33
"FBgn0027329__CCT6","FBgn0027329","1",34
"FBgn0260657__CG42540","FBgn0260657","0",35
"FBgn0262593__Shab","FBgn0262593","1",36
"FBgn0267485__asRNA:CR45835","FBgn0267485","0",37
"FBgn0267966__asRNA:CR46246","FBgn0267966","0",38
"FBgn0036607__CG13059","FBgn0036607","0",39
"FBgn0259214__PMCA","FBgn0259214","1",40
"FBgn0259222__CG42322","FBgn0259222","1",41
"FBgn0010473__tutl","FBgn0010473","1",42
"FBgn0022361__Pur-alpha","FBgn0022361","1",43
"FBgn0266866__lncRNA:CR45327","FBgn0266866","0",44
"FBgn0004926__eIF2beta","FBgn0004926","1",45
"FBgn0032382__Mal-B2","FBgn0032382","0",46
"FBgn0023550__FarO","FBgn0023550","0",47
"FBgn0085246__CG34217","FBgn0085246","0",48
"FBgn0259677__CG42346","FBgn0259677","0",49
"FBgn0261722__fwe","FBgn0261722","1",50
"FBgn0038981__CG5346","FBgn0038981","1",51
"FBgn0260446__GABA-B-R1","FBgn0260446","1",52
"FBgn0035541__CG15019","FBgn0035541","0",53
"FBgn0004401__Pep","FBgn0004401","1",54
"FBgn0085382__CG34353","FBgn0085382","0",55
"FBgn0035699__CG13300","FBgn0035699","0",56
"FBgn0001215__Hrb98DE","FBgn0001215","1",57
"FBgn0016694__Pdp1","FBgn0016694","0",58
"FBgn0004242__Syt1","FBgn0004242","0",59
"FBgn0026262__Taf3","FBgn0026262","1",60
"FBgn0001253__ImpE1","FBgn0001253","0",61
"FBgn0053513__Nmdar2","FBgn0053513","0",62
"FBgn0085391__trv","FBgn0085391","1",63
"FBgn0085412__kmr","FBgn0085412","0",64
"FBgn0051708__DIP-zeta","FBgn0051708","0",65
"FBgn0038610__CG7675","FBgn0038610","0",66
"FBgn0262869__Gfrl","FBgn0262869","0",67
"FBgn0270928__VAChT","FBgn0270928","0",68
"FBgn0030086__CCT2","FBgn0030086","1",69
"FBgn0054034__CG34034","FBgn0054034","0",70
"FBgn0035558__CG11357","FBgn0035558","0",71
"FBgn0001961__Arpc1","FBgn0001961","1",72
"FBgn0039936__Gyf","FBgn0039936","1",73
"FBgn0035245__GC","FBgn0035245","0",74
"FBgn0038504__Sur-8","FBgn0038504","1",75
"FBgn0029882__CG3226","FBgn0029882","0",76
"FBgn0035959__CG4911","FBgn0035959","1",77
"FBgn0010621__CCT5","FBgn0010621","1",78
"FBgn0264775__CG44013","FBgn0264775","0",79
"FBgn0024963__GluClalpha","FBgn0024963","1",80
"FBgn0031384__CG4238","FBgn0031384","1",81
"FBgn0050008__CG30008","FBgn0050008","0",82
"FBgn0036725__CG18265","FBgn0036725","0",83
