"","seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENTREZID","SYMBOL","GENENAME"
"1","chr2L",72164,73783,1620,"*","suvar1_peak_7",635,".",5.00289,66.4778,63.5305,1111,"2L",72565,73968,"suvar2_peak_9",548,".",4.87271,57.6508,54.8278,699,1218,"Promoter",1,72387,76211,3825,1,"FBgn0031213","FBtr0078101",0,"33162","galectin","galectin"
"2","chr2L",102135,102498,364,"*","suvar1_peak_10",104,".",2.23569,12.3241,10.4499,156,"2L",102182,102819,"suvar2_peak_10",121,".",2.58017,14.2091,12.1965,162,316,"Promoter",1,102380,104142,1763,1,"FBgn0031217","FBtr0078104",0,"33166","CG11377","uncharacterized protein"
"3","chr2L",107144,107389,246,"*","suvar1_peak_12",35,".",1.84926,5.05937,3.53626,144,"2L",107144,107430,"suvar2_peak_11",24,".",1.66783,3.86164,2.41424,20,245,"Promoter",1,106903,114432,7530,1,"FBgn0005278","FBtr0089437",241,"48552","Sam-S","S-adenosylmethionine Synthetase"
"4","chr2L",107644,109397,1754,"*","suvar1_peak_13",103,".",2.37714,12.1797,10.3111,520,"2L",107792,109372,"suvar2_peak_12",135,".",2.87451,15.6427,13.5825,397,1580,"Promoter",1,107761,111337,3577,1,"FBgn0005278","FBtr0308091",0,"48552","Sam-S","S-adenosylmethionine Synthetase"
"5","chr2L",122300,122619,320,"*","suvar1_peak_14",219,".",3.4854,24.1823,21.942,176,"2L",122302,122605,"suvar2_peak_14",209,".",3.50743,23.2275,20.9608,153,303,"Promoter",1,122837,124031,1195,1,"FBgn0266304","FBtr0344032",-218,"19835409","asRNA:CR44969","antisense RNA:CR44969"
"6","chr2L",127606,128767,1162,"*","suvar1_peak_15",112,".",2.6774,13.11,11.2062,937,"2L",128199,129494,"suvar2_peak_16",109,".",2.68831,12.9506,10.985,1034,568,"Promoter",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",478,"33171","CG3164","uncharacterized protein"
"7","chr2L",128959,129718,760,"*","suvar1_peak_16",120,".",2.619,13.9466,12.0109,306,"2L",128199,129494,"suvar2_peak_16",109,".",2.68831,12.9506,10.985,1034,536,"Promoter",1,122624,129245,6622,2,"FBgn0025683","FBtr0078154",0,"33171","CG3164","uncharacterized protein"
"8","chr2L",130056,130515,460,"*","suvar1_peak_17",35,".",1.84926,5.05937,3.53626,248,"2L",129847,130555,"suvar2_peak_17",38,".",1.87504,5.42554,3.84294,159,460,"Promoter",1,122624,130791,8168,2,"FBgn0025683","FBtr0078153",276,"33171","CG3164","uncharacterized protein"
"9","chr2L",130567,132426,1860,"*","suvar1_peak_18",257,".",3.58699,28.0714,25.7365,1598,"2L",130644,131317,"suvar2_peak_18",87,".",2.46062,10.5774,8.70756,468,673,"Promoter",1,132077,133995,1919,1,"FBgn0001142","FBtr0300568",0,"33172","Gs1","Glutamine synthetase 1"
"10","chr2L",138164,138484,321,"*","suvar1_peak_19",304,".",4.10945,32.8467,30.4095,144,"2L",138175,138469,"suvar2_peak_20",243,".",3.77793,26.684,24.3413,136,294,"3' UTR",1,138384,139588,1205,2,"FBgn0051976","FBtr0346127",1104,"326181","ovm","oven mitt"
